name,line,fourthClass,runtimeRefs,stringRefs,windowRefs,historicalFiles,historicalSample,replacement,replacementScore,replacementRefs,classification
"dashboardCompactTasksMarkup","7252","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","dashboardCompactProgramsMarkup","0.227","2","UNREACHABLE_NO_HISTORY"
"dashboardCompactNoticesMarkup","7274","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","dashboardCompactProgramsMarkup","0.373","2","UNREACHABLE_NO_HISTORY"
"dashboardStudentStatusMarkup","7799","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","dashboardStudentStatusCompactMarkup","0.747","2","UNREACHABLE_WITH_REPLACEMENT_CANDIDATE"
"workItemReadByCurrentUser","7955","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","autoAlertOwnerKey","0.222","2","UNREACHABLE_NO_HISTORY"
"dashboardTopAlertsMarkup","8013","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","workAcknowledgedAutoMarkup","0.275","2","UNREACHABLE_NO_HISTORY"
"completionStatusMarkup","8066","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","dashboardCounselRowsMarkup","0.241","3","UNREACHABLE_NO_HISTORY"
"openStudentCounselEdit","8261","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","scoreStudentInfo","0.227","4","UNREACHABLE_NO_HISTORY"
"todayProgramsMarkup","8394","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","widgetErrorCard","0.347","2","UNREACHABLE_NO_HISTORY"
"canRevealStudentSensitiveInfo","8434","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","currentNoticeUserId","0.273","6","UNREACHABLE_NO_HISTORY"
"signalRowsForStudent","8440","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","studentFocusStudent","0.200","9","UNREACHABLE_NO_HISTORY"
"openMealDutyDrawer","8453","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","openTodayLunchSupervisorDrawer","0.534","2","UNREACHABLE_WITH_REPLACEMENT_CANDIDATE"
"retryGoogleConnection","9109","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","selectGoogleCredential","0.586","5","UNREACHABLE_WITH_REPLACEMENT_CANDIDATE"
"openStudentTimetableDrawer","9205","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","renderDutyCalendarDrawer","0.333","8","UNREACHABLE_NO_HISTORY"
"studentActivityOverview","9217","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","programParticipationFor","0.254","2","UNREACHABLE_NO_HISTORY"
"sortUniversitiesByPriority","9355","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","inputCenterAllHistory","0.300","2","UNREACHABLE_NO_HISTORY"
"admissionPairCompatible","9425","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","admissionPairCompatibility","0.103","3","UNREACHABLE_NO_HISTORY"
"studentStatsRankCard","9555","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","studentCounselHistoryMarkup","0.354","2","UNREACHABLE_NO_HISTORY"
"sendProgramEmailNotice","10964","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","openProgramMessageComposer","0.279","11","UNREACHABLE_NO_HISTORY"
"prepareProgramSmsNotice","10972","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","programMessageDraft","0.310","2","UNREACHABLE_NO_HISTORY"
"openProgramAttendanceQr","10977","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","printProgram","0.360","3","UNREACHABLE_NO_HISTORY"
"copyProgramRiroNotice","11022","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","deleteOfficialAttendanceRow","0.179","2","UNREACHABLE_NO_HISTORY"
"copyProgramIndividualNotices","11026","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","programMessageDraft","0.310","2","UNREACHABLE_NO_HISTORY"
"copyProgramFamilyLetter","11037","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","deleteOfficialAttendanceRow","0.185","2","UNREACHABLE_NO_HISTORY"
"uepCompareSelectionHistory","12356","SAFE_DELETE_AFTER_SMOKE","1","0","0","1","scripts\build-update-0.80.79.ps1","uniqueActiveAlertStudents","0.269","3","UNREACHABLE_HISTORICAL_ONLY"
"uepSchoolGrowthGapSummary","12448","SAFE_DELETE_AFTER_SMOKE","1","0","0","1","scripts\build-update-0.80.82.ps1","dashboardCounselCacheSignature","0.174","3","UNREACHABLE_HISTORICAL_ONLY"
"bindSelectionAnalysis","12593","SAFE_DELETE_AFTER_SMOKE","1","0","0","8","scripts\build-update-0.81.15.ps1 | patches\uep-0.81.04-features.js | patches\uep-0.81.05-curriculum-sdgs.js | patches\uep-0.81.06-curriculum-final.js","uepStudentApplicationView","0.240","3","UNREACHABLE_HISTORICAL_ONLY"
